nom,code_insee,surface,surface_non_hab,surface_hab
Île-de-France,"11","1206983","375300","831683"
Centre-Val de Loire,"24","3952990","1194057","2758933"
Bourgogne-Franche-Comté,"27","4806097","2096078","2710019"
Normandie,"28","3009273","379652","2629621"
Hauts-de-France,"32","3195104","1173502","2021602"
Grand Est,"44","5772534","3342443","2430091"
Pays de la Loire,"52","3240858","284438","2956420"
Bretagne,"53","2747413","125893","2621520"
Nouvelle-Aquitaine,"75","8518373","1979767","6538606"
Occitanie,"76","7336216","2284458","5051758"
Auvergne-Rhône-Alpes,"84","7090264","2158392","4931872"
Provence-Alpes-Côte d'Azur,"93","3167044","1619897","1547147"
Corse,"94","872153","587082","285071"
